eta_deg,q,Cp,M_loc
243.0,1.8904599546037149,-2.319652186195312,0.7893906501293841
245.99999999999997,1.9625867649413962,-2.5411202217806617,0.8235084399068321
249.0,2.0310160739819763,-2.753679808876694,0.856351968041671
252.0,2.0950450504416316,-2.9543173337947266,0.8875272256466528
254.99999999999997,2.1537300412179436,-3.139365739463574,0.9164983455586133
258.0,2.20579715192871,-3.3042325929134986,0.9425371820002127
261.0,2.2495818689409783,-3.4432188685745815,0.9646885895779812
264.0,2.2830905381591666,-3.549718994830224,0.9818042087089324
267.0,2.304284677107067,-3.617112527006046,0.9927048528272079
270.0,2.3115834733165874,-3.6403241512775684,0.9964725010087455
273.0,2.3043818584538496,-3.6174215772318714,0.9927549715600564
275.99999999999994,2.2832755943666405,-3.5503073622299186,0.9818991333181868
279.0,2.24983964692863,-3.4440378095762387,0.9648197115445782
282.0,2.206111265022946,-3.3052287329910683,0.942695256202635
285.0,2.1540862062940884,-3.140491578221617,0.9166753769997789
288.0,2.0954323303845506,-2.955535243945911,0.8877171447484612
290.99999999999994,2.0314266353491925,-2.7549613672580264,0.8565504741752133
294.0,1.9630150909541957,-2.5424438090179318,0.8237125530717208
297.0,1.89090209560721,-2.321000698395637,0.7895982910688643
299.99999999999994,1.8156252298815874,-2.0932190061582703,0.7545024223156376
303.0,1.7376068666474476,-1.861404980268948,0.7186488785971938
306.0,1.6571877797412018,-1.627676975175158,0.6822102992627266
308.99999999999994,1.5746492303538362,-1.3940214022650617,0.6453211667841553
312.0,1.4902279935917282,-1.1623260354972529,0.6080869591710892
315.0,1.4041269466396515,-0.934399026578461,0.570590738011309
317.99999999999994,1.3165227391333043,-0.7119784996729279,0.5328980115443713
321.0,1.2275714703383769,-0.4967357284791828,0.4950603948321144
324.0,1.1374129661189047,-0.29027387028190366,0.4571184089525263
326.99999999999994,1.0461740514640625,-0.09412362559465397,0.4191036517622899
329.99999999999994,0.9539710902105181,0.09026318691762536,0.3810405026484197
333.0,0.8609119824632643,0.2615213977882474,0.3429474770985337
335.99999999999994,0.7670977558079948,0.4183810209291427,0.3048383151929644
339.0,0.6726238491914756,0.5596760959922013,0.266722866099802
342.0,0.5775811624684944,0.6843534651673575,0.22860781512249456
344.99999999999994,0.48205692636948433,0.7914811751927774,0.19049728874921082
348.0,0.38613543463699784,0.8802562468286882,0.15239336513623733
351.0,0.28989867073622994,0.9500115972247661,0.11429651162710407
353.99999999999994,0.1934268548225108,1.0002219385773838,0.07620596666305798
357.0,0.09679893189196662,1.0305085112461458,0.0381200803874914
360.0,0.0,1.0406425518727995,0.0
