eta_deg,Cp,M_loc
201.0,0.49257622169788073,0.07124112468076277
204.0,0.34539978491952633,0.08089785873557881
206.99999999999997,0.18352176489336686,0.09034726931598344
209.99999999999997,0.008682259171293488,0.09956408570314682
212.99999999999997,-0.17723478957222732,0.10852331687930035
216.0,-0.3722208680873663,0.1172003100369077
218.99999999999997,-0.5741636484249015,0.12557081655921262
221.99999999999997,-0.7808690526580936,0.13361106558168293
225.0,-0.990084434361755,0.14129784504249662
228.0,-1.1995226649184698,0.14860858990885734
230.99999999999997,-1.40688689297925,0.15552147702813487
234.0,-1.6098957262372804,0.1620155258038097
236.99999999999994,-1.8063085666672074,0.1680707036428278
239.99999999999997,-1.9939508142429965,0.17366803487182753
243.0,-2.1707386406982137,0.178789711584713
245.99999999999997,-2.334703024998449,0.18341920467426123
249.0,-2.4840127367727254,0.187541373127415
252.0,-2.616995953870374,0.19114256953898545
254.99999999999997,-2.7321602062418955,0.19421073973203637
258.0,-2.8282103511043175,0.19673551437377929
261.0,-2.9040643042084198,0.1987082905492036
264.0,-2.9588662790578364,0.2001223014032898
267.0,-2.9919973198797734,0.2009726721849695
270.0,-3.003082954395251,0.20125646131622693
273.0,-2.991997838023428,0.20097268545799032
275.99999999999994,-2.9588673108009718,0.20012232793714854
279.0,-2.9040658404893,0.19870833031963042
282.0,-2.828212378396905,0.19673556734460193
285.0,-2.7321627066349943,0.19421080585544093
288.0,-2.616998905171736,0.19114264875583162
290.99999999999994,-2.484016112637107,0.18754146536757768
294.0,-2.3347067950786173,0.18341930985696206
297.0,-2.170742770817381,0.17878982961879497
299.99999999999994,-1.9939552665864426,0.17366816565591262
303.0,-1.806313299992796,0.1680708470652831
306.0,-1.6099006961015465,0.1620156817424204
308.99999999999994,-1.4068920519782715,0.15552164534935117
312.0,-1.199527962941617,0.14860877046643345
315.0,-0.9900898188554471,0.14129803767525378
317.99999999999994,-0.7808744688988669,0.13361127011000554
321.0,-0.5741690397986458,0.12557103277968365
324.0,-0.37222617637257455,0.11720053771412826
326.99999999999994,-0.17723995522468866,0.10852355573332417
329.99999999999994,0.008677296736322606,0.09956433538982604
333.0,0.18351706702720727,0.09034752939532423
335.99999999999994,0.34539541348313885,0.08089812861870235
339.0,0.49257223883999596,0.07124140353607974
342.0,0.6234689306676698,0.06140285281970109
344.99999999999994,0.7366842318687258,0.05140815855349234
348.0,0.831008224916393,0.041283147279800404
351.0,0.9054343306063661,0.0310537553221191
353.99999999999994,0.9591692391347969,0.020745993153999553
357.0,0.9916406856779032,0.010385878249456219
360.0,1.0025025006248989,0.0
